article,timestamp,desktop,month,mobile-app,mobile-web
Coronavirus,2020010100,4,1,0,14
Coronavirus,2020010200,4,1,0,15
Coronavirus,2020010300,16,1,1,46
Coronavirus,2020010400,12,1,0,17
Coronavirus,2020010500,10,1,1,24
Coronavirus,2020010600,6,1,0,37
Coronavirus,2020010700,17,1,0,35
Coronavirus,2020010800,22,1,4,59
Coronavirus,2020010900,88,1,2,160
Coronavirus,2020011000,38,1,2,122
Coronavirus,2020011100,51,1,2,126
Coronavirus,2020011200,47,1,6,160
Coronavirus,2020011300,100,1,5,366
Coronavirus,2020011400,162,1,6,555
Coronavirus,2020011500,93,1,4,540
Coronavirus,2020011600,212,1,22,1544
Coronavirus,2020011700,435,1,48,5983
Coronavirus,2020011800,467,1,65,6541
Coronavirus,2020011900,409,1,36,4657
Coronavirus,2020012000,2642,1,167,13383
Coronavirus,2020012100,15643,1,805,85374
Coronavirus,2020012200,34342,1,2206,254756
Coronavirus,2020012300,27939,1,2357,274834
Coronavirus,2020012400,22310,1,1951,262726
Coronavirus,2020012500,14283,1,1665,230995
Coronavirus,2020012600,12503,1,1154,202852
Coronavirus,2020012700,25083,1,966,206600
Coronavirus,2020012800,30553,1,1664,243079
Coronavirus,2020012900,27909,1,1750,220276
Coronavirus,2020013000,32196,1,1874,258102
Coronavirus,2020013100,28595,1,1763,214582
Kobe_Bryant,2020010100,101,1,9,694
Kobe_Bryant,2020010200,180,1,5,801
Kobe_Bryant,2020010300,154,1,4,664
Kobe_Bryant,2020010400,123,1,6,768
Kobe_Bryant,2020010500,106,1,8,650
Kobe_Bryant,2020010600,134,1,5,654
Kobe_Bryant,2020010700,168,1,5,547
Kobe_Bryant,2020010800,173,1,6,531
Kobe_Bryant,2020010900,141,1,4,567
Kobe_Bryant,2020011000,182,1,1,495
Kobe_Bryant,2020011100,104,1,7,694
Kobe_Bryant,2020011200,95,1,6,576
Kobe_Bryant,2020011300,180,1,6,439
Kobe_Bryant,2020011400,169,1,5,488
Kobe_Bryant,2020011500,200,1,5,531
Kobe_Bryant,2020011600,275,1,10,952
Kobe_Bryant,2020011700,170,1,13,565
Kobe_Bryant,2020011800,83,1,3,514
Kobe_Bryant,2020011900,107,1,8,584
Kobe_Bryant,2020012000,141,1,5,412
Kobe_Bryant,2020012100,180,1,3,517
Kobe_Bryant,2020012200,238,1,17,517
Kobe_Bryant,2020012300,209,1,11,630
Kobe_Bryant,2020012400,194,1,11,768
Kobe_Bryant,2020012500,113,1,9,733
Kobe_Bryant,2020012600,93912,1,7213,973509
